,,,,,,,,,,,,,,,,,1m,3m,6m,,YTD,,1a,,3a,,5a,,10a,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
,,,,,,,,,,,,,,,,,01/03/2026,01/01/2026,01/10/2025,,01/01/2026,,01/04/2025,,01/04/2023,,01/04/2021,,01/04/2016,,01/01/2013,,01/01/2014,,01/01/2015,,01/01/2016,,01/01/2017,,01/01/2018,,01/01/2019,,01/01/2020,,01/01/2021,,01/01/2022,,01/01/2023,,01/01/2024,,01/01/2025,
,,,,,,,,,,,,,,,,,31/03/2026,31/03/2026,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/12/2013,,31/12/2014,,31/12/2015,,31/12/2016,,31/12/2017,,31/12/2018,,31/12/2019,,31/12/2020,,31/12/2021,,31/12/2022,,31/12/2023,,31/12/2024,,31/12/2025,
Fondo ,ISIN,Categoría Morningstar ,Categoría Mediolanum ,Gestora,Familia,EU SFDR (Artículo 8 o 9),Frecuencia reparto DIVIDENDO,InBest,InBest MW,Double Chance,Big Chance ,Fecha de lanzamiento,Indicador riesgo marzo (PRIIPS),RV Style Box,RF Style Box, PATRIMONIO  ,Rentabilidad,Rentabilidad,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  
BGF European Value D2,LU0329592454,EAA Fund Europe Large-Cap Value Equity,Renta Variable Europa,BlackRock (Luxembourg) SA,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,11/12/2007,4,4,," 1,483,765,809.11 € ",-7.68,-2.25,5.58,14.91,-2.25,n.d.,14.51,12.40,14.47,10.77,11.47,12.57,8.34,15.19,30.98,10.42,5.83,7.96,13.93,17.20,0.39,14.36,7.16,8.17,-18.56,10.71,22.32,12.87,4.00,32.07,22.39,9.95,-3.95,18.02,14.80,13.13,12.92,7.80,24.72,10.00
BGF Fixed Income Global Opps D2 EUR H,LU0278456651,EAA Fund Global Flexible Bond - EUR Hedged,Renta Fija Flexible,BlackRock (Luxembourg) SA,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,1/31/2007,3,4,2," 8,020,158,228.99 € ",-2.29,-1.20,-0.35,3.86,-1.20,n.d.,3.41,3.06,4.14,3.60,0.80,3.77,1.38,4.07,2.92,3.02,3.85,1.13,-0.98,1.46,1.68,1.95,2.42,0.87,-3.50,1.75,4.42,1.63,4.42,9.53,-0.45,1.03,-8.14,4.19,4.82,4.73,3.19,3.76,6.10,1.54
BGF Fixed Income Global Opps D5 EUR H,LU0827879841,EAA Fund Global Flexible Bond - EUR Hedged,Renta Fija Flexible,BlackRock (Luxembourg) SA,Terceros ,n.a.,Trimestral,NO,NO,Sí,Sí,10/18/2012,3,4,2," 8,020,158,228.99 € ",-2.27,-1.19,-0.30,3.83,-1.19,n.d.,3.52,3.02,4.14,3.60,0.80,3.78,1.39,4.04,2.86,2.96,4.00,1.12,-0.92,1.46,1.61,2.02,2.48,0.89,-3.56,1.71,4.53,1.59,4.25,9.39,-0.32,1.00,-8.17,4.30,4.87,4.74,3.20,3.70,6.05,1.53
BGF Global Allocation D2 EUR Hedged,LU0329591480,EAA Fund EUR Moderate Allocation - Global,Multi Activos Flexible,BlackRock (Luxembourg) SA,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,11/12/2007,3,4,2," 14,743,425,151.68 € ",-6.91,-4.30,-1.55,11.88,-4.30,n.d.,12.58,10.05,8.53,9.36,2.28,10.44,4.68,10.20,14.51,6.62,2.16,5.29,-1.95,8.51,2.92,7.80,11.31,2.10,-10.84,8.26,14.20,6.87,18.30,18.73,6.00,5.67,-18.39,13.70,10.48,11.50,7.81,7.08,15.51,7.49
BGF Global Allocation D4 EUR Hedged,LU0827880773,EAA Fund EUR Moderate Allocation - Global,Multi Activos Flexible,BlackRock (Luxembourg) SA,Terceros ,n.a.,Anual,NO,NO,Sí,Sí,9/20/2012,3,4,2," 14,743,425,151.68 € ",-6.90,-4.30,-1.53,11.87,-4.30,n.d.,12.58,10.04,8.54,9.36,2.29,10.44,4.69,10.20,14.51,6.63,2.20,5.27,-1.99,8.48,2.93,7.77,11.28,2.06,-10.83,8.24,14.17,6.87,18.32,18.75,5.99,5.66,-18.39,13.70,10.48,11.50,7.80,7.08,15.51,7.50
BGF Global Equity Income D2 EUR Hedged,LU0827881409,EAA Fund Other Equity,Renta Variable Dividendos,BlackRock (Luxembourg) SA,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,9/27/2012,4,4,," 860,728,701.48 € ",-8.60,-4.79,-2.41,14.30,-4.79,n.d.,11.65,12.46,7.61,11.82,3.90,13.45,4.80,13.42,19.05,8.67,2.51,10.12,0.69,13.60,3.88,8.94,16.90,4.42,-13.95,11.90,18.33,9.64,4.00,24.67,16.49,8.91,-17.30,19.14,13.07,14.36,6.78,7.33,14.53,10.82
BGF Global Equity Income D5G EUR Hedged,LU0827881664,EAA Fund Other Equity,Renta Variable Dividendos,BlackRock (Luxembourg) SA,Terceros ,Artículo 8,Trimestral,NO,Sí,Sí,Sí,9/27/2012,4,4,," 860,728,701.48 € ",-8.61,-4.75,-2.43,14.32,-4.75,n.d.,11.65,12.48,7.64,11.82,3.91,13.44,4.79,13.41,19.03,8.73,2.55,10.11,0.68,13.61,3.85,8.96,16.94,4.46,-13.96,11.91,18.33,9.56,4.02,24.63,16.39,8.94,-17.32,19.09,13.11,14.40,6.81,7.30,14.45,10.80
BGF Global Government Bond D2 EUR Hedged,LU0329591563,EAA Fund Global Government Bond - EUR Hedged,Renta Fija Gobierno Internacional - Medio Largo Plazo ,BlackRock (Luxembourg) SA,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,11/12/2007,2,,8," 728,252,438.18 € ",-2.93,-1.51,-1.23,5.10,-1.51,n.d.,0.44,3.89,0.85,4.60,-2.60,5.31,-0.85,4.47,1.12,3.13,8.07,1.40,-0.04,3.18,1.75,3.91,0.60,1.77,-1.94,2.08,4.71,3.94,5.76,4.10,-3.39,3.27,-15.75,5.93,3.79,7.06,0.20,4.36,2.11,2.07
BGF Global High Yield Bond D2 EUR Hedged,LU0368267034,EAA Fund Global High Yield Bond - EUR Hedged,Renta Fija High Yield,BlackRock (Luxembourg) SA,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,5/20/2009,2,9,3," 1,617,192,525.63 € ",-2.01,-1.55,-0.57,3.36,-1.55,n.d.,4.27,3.12,6.59,3.92,1.49,6.54,3.37,7.05,7.54,5.49,2.03,4.67,-4.81,7.54,11.73,5.18,6.04,2.31,-5.46,3.51,11.62,3.71,5.12,15.48,2.00,2.85,-14.64,11.19,10.14,6.50,7.17,2.41,6.49,2.62
BGF World Healthscience D2,LU0827889485,EAA Fund Sector Equity Healthcare,Renta Variable Sectorial,BlackRock (Luxembourg) SA,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,11/12/2007,4,4,," 10,903,041,328.18 € ",-5.13,-3.41,7.69,17.00,-3.41,n.d.,-2.67,14.79,3.21,12.69,4.93,12.44,9.02,12.73,38.31,13.16,42.32,10.74,17.42,20.97,-4.40,15.50,7.88,10.59,10.99,15.61,27.67,9.35,5.04,17.53,24.45,9.83,1.33,14.46,-0.60,8.36,9.58,10.93,0.81,16.97
