,,,,,,,,,,,,,,,,,1m,3m,6m,,YTD,,1a,,3a,,5a,,10a,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,2024,,2025,
,,,,,,,,,,,,,,,,,01/03/2026,01/01/2026,01/10/2025,,01/01/2026,,01/04/2025,,01/04/2023,,01/04/2021,,01/04/2016,,01/01/2013,,01/01/2014,,01/01/2015,,01/01/2016,,01/01/2017,,01/01/2018,,01/01/2019,,01/01/2020,,01/01/2021,,01/01/2022,,01/01/2023,,01/01/2024,,01/01/2025,
,,,,,,,,,,,,,,,,,31/03/2026,31/03/2026,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/03/2026,,31/12/2013,,31/12/2014,,31/12/2015,,31/12/2016,,31/12/2017,,31/12/2018,,31/12/2019,,31/12/2020,,31/12/2021,,31/12/2022,,31/12/2023,,31/12/2024,,31/12/2025,
Fondo ,ISIN,Categoría Morningstar ,Categoría Mediolanum ,Gestora,Familia,EU SFDR (Artículo 8 o 9),Frecuencia reparto DIVIDENDO,InBest,InBest MW,Double Chance,Big Chance ,Fecha de lanzamiento,Indicador riesgo marzo (PRIIPS),RV Style Box,RF Style Box, PATRIMONIO  ,Rentabilidad,Rentabilidad,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  ,Rentabilidad,Volatilidad anualizada  
BGF World Technology D2,LU0376438312,EAA Fund Sector Equity Technology,Renta Variable Sectorial,BlackRock (Luxembourg) SA,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,12/30/2011,5,7,," 11,246,099,955.27 € ",-7.08,-7.34,-7.26,21.70,-7.34,n.d.,20.06,22.99,20.01,22.61,7.41,23.90,20.09,21.47,23.96,8.81,23.75,11.98,16.81,21.55,10.14,15.79,34.62,11.98,5.31,21.39,47.35,18.81,70.92,24.34,17.71,15.72,-39.13,28.39,45.73,20.65,42.42,17.04,5.18,28.46
BSF European Absolute Return D2 EUR,LU0414666189,EAA Fund Equity Market Neutral EUR,Multi Activos Estrategias Alternativas,BlackRock (Luxembourg) SA,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,2/27/2009,3,7,," 476,042,821.88 € ",-2.54,-0.93,0.31,5.64,-0.93,n.d.,0.08,4.43,2.82,5.83,3.27,6.16,2.49,5.21,4.08,2.46,0.92,3.46,8.07,2.03,-7.33,3.57,3.40,2.58,3.88,3.36,1.08,3.24,9.09,5.35,8.77,6.27,-4.45,7.46,4.77,4.66,7.03,7.21,-1.31,4.68
Candriam Sst Bd Glbl Hi Yld R € Acc,LU1644441716,EAA Fund Global High Yield Bond - EUR Hedged,Renta Fija High Yield,Candriam,Terceros ,Artículo 9,n.a.,NO,NO,Sí,Sí,10/10/2017,2,,3," 1,172,815,796.35 € ",-2.05,-1.40,-0.78,3.31,-1.40,n.d.,2.66,2.65,4.44,3.22,1.72,5.88,,,,,,,,,,,,,-3.21,2.21,9.71,3.08,6.56,8.04,2.20,1.97,-9.12,11.28,8.43,5.12,4.49,2.18,4.92,1.50
Candriam Sst Eq Crclr Ecoy R € HAcc,LU2109441928,EAA Fund Other Equity,Renta Variable Sectorial,Candriam,Terceros ,Artículo 9,n.a.,NO,Sí,Sí,Sí,11/20/2020,4,4,," 171,297,569.68 € ",-9.45,-5.04,-6.89,15.48,-5.04,n.d.,1.16,12.65,-1.36,13.74,-3.47,16.50,,,,,,,,,,,,,,,,,,,10.60,12.94,-26.52,23.01,4.58,17.91,-0.91,12.89,2.54,9.10
Candriam Sst Eq Euro R Acc €,LU1313772151,EAA Fund Europe Large-Cap Blend Equity,Renta Variable Europa,Candriam,Terceros ,Artículo 9,n.a.,NO,Sí,Sí,Sí,5/17/2016,4,4,," 600,840,439.44 € ",-9.19,-5.03,-1.74,15.66,-5.03,n.d.,-2.53,11.81,1.80,11.83,3.10,13.55,,,,,,,,,,,11.29,7.86,-9.46,11.27,31.21,11.30,3.66,23.76,25.32,10.64,-13.20,19.40,8.17,13.74,2.18,8.24,8.14,10.76
Carmignac Emergents A EUR Acc,FR0010149302,EAA Fund Global Emerging Markets Equity,Renta Variable Países Emergentes,Carmignac Gestion,Terceros ,Artículo 9,n.a.,NO,Sí,Sí,Sí,2/3/1997,4,7,," 1,213,439,462.00 € ",-10.27,2.06,7.43,25.37,2.06,n.d.,26.33,18.67,11.12,14.77,1.11,15.89,6.86,15.19,-6.17,10.40,5.76,11.08,5.15,18.58,1.39,10.99,18.84,7.78,-18.60,10.66,24.73,11.41,44.66,23.69,-10.73,13.35,-15.63,17.75,9.51,15.89,4.63,12.13,23.14,13.48
Carmignac Investissement A EUR Acc,FR0010148981,EAA Fund Global Large-Cap Growth Equity,Renta Variable Internacional,Carmignac Gestion,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,1/26/1989,4,7,," 4,074,971,193.53 € ",-5.14,-3.90,1.66,13.96,-3.90,n.d.,22.26,13.46,16.62,13.15,6.54,14.22,8.80,13.74,14.27,7.03,10.39,7.35,1.29,17.70,2.13,8.22,4.76,5.56,-14.17,12.68,24.75,11.25,33.65,21.59,3.97,11.78,-18.33,17.51,18.92,9.73,25.03,12.11,17.45,16.80
Carmignac Patrimoine A EUR Acc,FR0010135103,EAA Fund EUR Moderate Allocation - Global,Multi Activos Flexible,Carmignac Gestion,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,11/7/1989,3,7,2," 6,421,163,674.74 € ",-2.25,-0.25,1.23,6.30,-0.25,n.d.,10.23,5.08,6.98,5.38,1.67,6.30,2.56,6.21,3.53,5.50,8.81,3.63,0.72,12.27,3.88,3.82,0.09,2.51,-11.29,6.37,10.55,3.82,12.40,9.71,-0.88,5.05,-9.38,7.98,2.20,6.69,7.06,4.38,12.12,5.71
Carmignac Pf Credit F EUR Acc,LU1932489690,EAA Fund EUR Flexible Bond,Renta Fija Flexible,Carmignac Gestion Luxembourg S.A.,Terceros ,n.a.,n.a.,NO,NO,Sí,Sí,12/31/2018,2,3,5," 2,796,811,302.98 € ",-2.37,-0.92,-0.27,4.09,-0.92,n.d.,4.07,3.24,8.00,3.29,2.60,5.40,,,,,,,,,,,,,,,20.91,5.58,10.83,17.72,3.36,1.36,-12.73,9.02,10.94,4.90,8.59,1.34,7.03,2.60
Carmignac Pf Emerg Patrim A EUR Acc,LU0592698954,EAA Fund Global Emerging Markets Allocation,Multi Activos Dinámicos,Carmignac Gestion Luxembourg S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,3/31/2011,3,7,3," 331,090,938.34 € ",-5.74,3.06,8.59,15.13,3.06,n.d.,17.39,10.62,6.96,7.52,2.05,9.97,4.70,9.36,-13.63,9.77,5.26,8.18,0.17,12.31,9.76,8.04,7.30,5.84,-14.37,6.40,18.56,6.96,20.40,12.89,-5.22,6.28,-9.58,14.89,7.78,9.57,1.88,4.27,14.21,6.98
Carmignac Pf Emerg Patrim F EUR Acc,LU0992631647,EAA Fund Global Emerging Markets Allocation,Multi Activos Dinámicos,Carmignac Gestion Luxembourg S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,11/15/2013,3,7,3," 331,090,938.34 € ",-5.68,2.89,8.59,14.91,2.89,n.d.,17.77,10.47,7.49,7.45,2.59,9.92,5.29,9.33,-13.54,9.77,5.95,8.19,0.83,12.26,10.46,8.03,8.00,5.85,-13.80,6.41,19.17,6.96,21.06,12.88,-4.61,6.31,-9.00,14.90,8.18,9.48,2.55,4.27,14.96,7.00
Carmignac Sécurité AW EUR Acc,FR0010149120,EAA Fund EUR Diversified Bond - Short Term,Renta Fija Diversificada,Carmignac Gestion,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,1/26/1989,2,,2," 4,993,043,330.96 € ",-1.12,-0.52,-0.46,1.96,-0.52,n.d.,1.03,1.48,3.74,1.57,1.19,2.70,0.99,2.63,2.56,2.26,1.69,0.94,1.12,1.74,2.07,0.68,0.04,0.81,-3.00,1.98,3.57,1.17,2.05,5.20,0.22,0.68,-4.75,4.84,4.06,2.37,5.28,1.16,2.30,0.91
Compromiso Mediolanum E FI,ES0121092011,EAA Fund EUR Moderate Allocation - Global,Multi Activos Flexible ,Mediolanum Gestión SGIIC,Grupo Mediolanum ,Artículo 8,n.a.,NO,NO,Sí,Sí,9/16/2022,3,4,8," 40,063,407.00 € ",-3.90,-1.73,-0.44,6.96,-1.73,n.d.,5.07,6.15,6.93,7.13,,,,,,,,,,,,,,,,,,,,,,,,,8.94,7.59,13.21,6.00,3.32,7.21
Compromiso Mediolanum L FI,ES0121092003,EAA Fund EUR Moderate Allocation - Global,Multi Activos Flexible ,Mediolanum Gestión SGIIC,Grupo Mediolanum ,Artículo 8,n.a.,NO,NO,Sí,Sí,7/8/2016,3,4,8," 40,063,407.00 € ",-3.97,-1.94,-0.86,6.96,-1.94,n.d.,4.19,6.15,6.07,7.13,0.98,7.61,,,,,,,,,,,2.25,1.87,-7.20,4.01,6.72,3.06,3.76,8.30,1.22,2.57,-15.01,9.98,8.07,7.59,12.31,6.00,2.47,7.21
DNCA Invest Alpha Bonds N EUR,LU1694789709,EAA Fund Global Flexible Bond,Renta Fija Flexible,DNCA Finance,Terceros ,Artículo 8,n.a.,No,No,Sí,Sí,12/14/2017,2,4,5," 28,957,095,005.40 € ",-1.66,-0.34,0.29,3.30,-0.34,n.d.,2.82,2.39,4.25,1.87,5.16,2.59,,,,,,,,,,,,,0.28,1.99,3.25,3.22,-0.12,7.48,4.81,3.40,6.35,4.34,5.40,1.43,4.23,1.46,5.31,1.51
DNCA Invest Eurose A EUR,LU0284394235,EAA Fund EUR Cautious Allocation,Multi Activos Prudente,DNCA Finance,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,9/28/2007,2,4,," 2,808,833,035.74 € ",-3.26,-0.45,0.41,6.02,-0.45,n.d.,3.53,4.32,5.25,3.68,3.67,5.01,2.75,6.25,10.45,4.35,4.25,4.04,2.85,7.26,2.48,5.20,4.73,3.38,-6.42,4.28,7.85,4.56,-4.27,14.04,7.02,3.46,-3.22,8.50,8.58,3.92,2.94,3.43,7.81,2.38
DNCA Invest Évolutif A EUR,LU0284394664,EAA Fund EUR Flexible Allocation,Multi Activos Flexible,DNCA Finance,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,12/13/2007,3,4,," 863,546,061.00 € ",-7.93,-5.21,-4.75,12.53,-5.21,n.d.,2.07,10.63,7.06,10.38,4.78,11.13,4.01,9.83,18.64,7.36,3.97,6.66,5.71,12.13,3.00,8.64,3.41,5.84,-11.75,8.55,12.98,6.74,3.43,12.05,14.77,6.35,-15.05,13.90,16.24,10.85,14.33,9.11,5.90,9.62
DNCA Invest Value Europe A EUR,LU0284396016,EAA Fund Europe Large-Cap Value Equity,Renta Variable Europa,DNCA Finance,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,6/26/2008,4,1,," 1,461,559,031.75 € ",-6.46,0.49,6.27,13.34,0.49,n.d.,14.25,10.25,14.60,10.71,11.08,13.07,6.44,16.05,29.34,10.05,4.89,8.36,16.47,18.09,2.19,13.09,8.83,7.60,-18.17,10.95,16.98,11.27,-11.58,35.98,18.24,12.15,-1.73,19.39,13.83,13.64,14.36,9.56,23.19,8.52
DWS Concept Kaldemorgen EUR TFC,LU1663838545,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible,DWS Investment S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,12/5/2017,3,4,," 14,972,216,213.25 € ",-4.65,-1.00,1.65,8.87,-1.00,n.d.,5.04,6.35,4.61,4.94,3.54,4.88,,,,,,,,,,,,,-2.27,5.14,12.65,4.12,-1.14,10.51,9.85,3.60,-4.07,5.42,6.31,4.68,6.03,3.01,6.42,4.76
DWS Invest ESG Top Euroland TFC,LU1663954375,EAA Fund Eurozone Large-Cap Equity,Renta Variable Europa,DWS Investment S.A.,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,12/5/2017,4,4,," 403,946,538.33 € ",-9.84,-4.10,1.22,17.57,-4.10,n.d.,12.32,14.87,9.62,12.81,6.20,15.97,,,,,,,,,,,,,-16.09,13.12,33.95,10.81,7.81,29.75,19.44,10.75,-19.19,24.21,19.52,15.85,4.62,8.64,23.57,12.23
DWS Invest Multi Opportunities EUR TFC,LU1663932728,EAA Fund EUR Flexible Allocation - Global,Multi Activos Flexible,DWS Investment S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,12/5/2017,4,4,," 234,931,522.09 € ",-6.66,-1.91,1.15,12.47,-1.91,n.d.,6.10,9.01,5.61,7.39,4.16,7.92,,,,,,,,,,,,,-5.94,7.03,13.27,4.91,-4.02,16.10,12.85,4.86,-8.06,10.10,7.83,7.50,7.29,5.28,8.12,7.12
DWS Invest Short Duration Credit TFC,LU1663942362,EAA Fund EUR Corporate Bond - Short Term,Renta Fija Corporate,DWS Investment S.A.,Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,12/5/2017,2,,," 891,381,772.00 € ",-1.41,-0.67,-0.21,2.42,-0.67,n.d.,1.94,1.81,4.53,1.60,1.45,2.94,,,,,,,,,,,,,-1.79,1.03,2.87,1.26,0.30,6.67,0.19,0.61,-7.34,5.01,6.55,2.10,5.78,1.24,3.51,0.75
DWS Invest Top Dividend LDQH (P),LU0911039310,EAA Fund Other Equity,Renta Variable Dividendos,DWS Investment S.A.,Terceros ,Artículo 8,Trimestral,NO,Sí,Sí,Sí,6/4/2014,3,1,," 2,590,264,161.14 € ",-5.36,7.04,11.92,15.24,7.04,n.d.,18.49,11.45,11.55,9.07,8.02,9.77,5.98,9.92,,,,,6.51,10.97,5.55,5.46,9.04,4.56,-6.67,8.65,14.85,6.54,-5.13,18.69,15.04,7.75,-3.40,13.39,2.50,8.38,5.42,6.06,20.47,6.44
DWS Invest Top Dividend TFC,LU1663951603,EAA Fund Global Equity Income,Renta Variable Dividendos,DWS Investment S.A.,Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,12/5/2017,3,1,," 2,590,264,161.14 € ",-4.47,8.46,13.50,14.72,8.46,n.d.,16.22,12.86,11.87,9.10,9.68,9.49,7.38,9.97,12.88,8.35,17.92,4.96,13.30,15.32,8.03,4.98,0.72,6.31,-2.09,8.92,20.30,6.70,-8.82,18.07,22.89,8.42,0.64,12.52,2.11,6.37,9.64,5.49,14.66,9.37
Fidelity Asia Eq ESG Y-ACC-EUR,LU0880599641,EAA Fund Asia ex-Japan Equity,Renta Variable Países Emergentes,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,2/4/2013,4,4,," 2,486,297,866.55 € ",-11.38,-0.56,3.17,23.84,-0.56,n.d.,16.79,19.34,6.32,14.39,0.51,15.07,7.93,14.50,0.33,10.04,11.84,10.16,3.94,20.57,6.99,12.21,25.49,6.61,-6.77,14.66,27.71,13.02,15.75,21.51,4.50,11.27,-11.62,18.97,-4.63,12.49,10.80,13.25,16.08,13.28
Fidelity China Consumer A-Acc-EUR,LU0594300096,EAA Fund China Equity,Renta Variable Países Emergentes,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,2/23/2011,5,4,," 2,266,093,965.88 € ",-5.38,-8.86,-17.00,7.19,-8.86,n.d.,-7.13,16.12,-5.51,21.96,-11.37,25.66,1.07,21.35,22.01,10.18,14.00,13.78,7.97,25.56,3.17,17.52,34.20,5.08,-16.98,17.34,26.36,17.69,23.57,16.68,-19.43,20.03,-15.81,39.21,-19.02,20.65,3.75,29.87,10.54,16.64
Fidelity China Consumer Y-Acc-EUR,LU0605514057,EAA Fund China Equity,Renta Variable Países Emergentes,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,2/12/2014,5,4,," 2,266,093,965.88 € ",-5.30,-8.63,-16.63,7.22,-8.63,n.d.,-6.30,16.10,-4.70,21.93,-10.62,25.67,1.92,21.36,,,,,8.81,25.56,3.93,17.56,35.40,5.06,-16.26,17.32,27.42,17.70,24.61,16.71,-18.74,20.06,-15.10,39.26,-18.33,20.68,4.62,29.82,11.48,16.64
Fidelity Funds America A-Acc-EUR,LU0251127410,EAA Fund US Large-Cap Value Equity,Renta Variable Norte América,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,7/3/2006,4,1,," 2,506,897,664.00 € ",-4.87,0.43,4.64,11.26,0.43,n.d.,2.61,12.82,7.54,13.18,6.91,13.19,6.92,14.40,29.78,9.63,33.44,6.77,12.26,17.65,12.36,14.15,-3.95,9.11,-2.26,14.51,13.16,13.59,-4.67,24.03,33.61,10.15,0.43,16.89,7.92,10.37,15.50,15.14,-3.45,14.07
Fidelity Funds America Y-Acc-EUR,LU0755218046,EAA Fund US Large-Cap Value Equity,Renta Variable Norte América,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,3/13/2012,4,1,," 2,506,897,664.00 € ",-4.80,0.63,5.07,11.26,0.63,n.d.,3.46,12.82,8.46,13.18,7.81,13.19,7.83,14.41,30.65,9.70,34.52,6.77,12.97,17.67,13.34,14.16,-3.10,9.11,-1.47,14.49,14.09,13.62,-3.80,24.06,34.72,10.15,1.28,16.90,8.83,10.39,16.51,15.15,-2.64,14.06
Fidelity Glb Mlt Ast Inc A-Acc-EUR,LU1116430247,EAA Fund USD Moderate Allocation,Multi Activos Flexible,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,10/8/2014,3,4,," 3,362,694,906.00 € ",-4.52,2.39,4.40,11.30,2.39,n.d.,3.49,9.84,4.22,7.26,1.60,7.15,3.29,7.42,,,,,10.05,13.25,9.74,4.71,-3.25,6.10,1.80,5.76,15.12,4.92,-5.24,13.14,9.66,4.97,-7.87,8.40,1.24,5.40,10.24,5.05,-1.50,8.29
Fidelity Glb Mlt Ast Inc Y-Acc-EUR,LU0979392502,EAA Fund USD Moderate Allocation,Multi Activos Flexible,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,10/16/2013,3,4,," 3,362,694,906.00 € ",-4.49,2.63,4.76,11.41,2.63,n.d.,4.23,9.92,4.96,7.30,2.31,7.19,4.01,7.45,,,17.63,3.28,10.64,13.17,10.54,4.74,-2.64,6.13,2.57,5.73,15.89,4.90,-4.57,13.20,10.40,5.05,-7.19,8.42,1.91,5.42,11.10,5.10,-0.92,8.30
Fidelity Global Dividend A-Acc-EUR H,LU0605515377,EAA Fund Other Equity,Renta Variable Dividendos,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,1/30/2012,3,4,," 16,987,764,708.60 € ",-7.45,0.47,3.94,16.12,0.47,n.d.,8.82,11.10,11.68,8.88,7.52,9.93,7.60,10.08,25.78,8.26,11.70,6.56,5.08,13.21,3.56,5.76,8.46,5.42,-3.55,8.51,21.92,7.61,2.61,18.05,14.85,10.15,-9.12,13.06,11.88,8.02,15.01,7.36,13.38,4.46
Fidelity Global Dividend A-QInc(G)-EUR,LU0731782404,EAA Fund Global Equity Income,Renta Variable Dividendos,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,Trimestral,NO,Sí,Sí,Sí,1/30/2012,3,4,," 16,987,764,708.60 € ",-6.80,1.19,4.45,15.41,1.19,n.d.,6.25,11.22,11.07,8.56,8.12,9.60,8.12,10.05,20.71,7.39,19.31,5.60,13.19,16.92,4.11,5.89,1.97,7.72,-0.07,8.50,26.05,7.40,-0.94,17.33,19.39,10.48,-6.54,13.09,11.26,5.96,18.06,6.87,7.95,6.39
Fidelity Global Dividend Y-Acc-EUR H,LU0605515880,EAA Fund Other Equity,Renta Variable Dividendos,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,1/30/2012,3,4,," 16,987,764,708.60 € ",-7.36,0.74,4.39,16.11,0.74,n.d.,9.81,11.09,12.67,8.88,8.44,9.92,8.52,10.07,26.18,8.31,12.59,6.50,5.75,13.19,4.43,5.81,9.33,5.45,-2.74,8.53,22.98,7.63,3.50,17.98,15.84,10.13,-8.37,13.05,12.80,8.00,16.02,7.42,14.35,4.44
Fidelity Global Dividend Y-QInc(G)-EUR,LU1169812200,EAA Fund Global Equity Income,Renta Variable Dividendos,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,Trimestral,NO,Sí,Sí,Sí,1/26/2015,3,4,," 16,987,764,708.60 € ",-6.75,1.38,4.89,15.43,1.38,n.d.,7.15,11.23,12.02,8.56,9.03,9.61,9.02,10.06,,,,,,,4.93,5.85,2.82,7.67,0.71,8.56,27.12,7.47,-0.10,17.30,20.46,10.47,-5.78,13.09,12.14,5.93,19.11,6.88,8.89,6.41
Fidelity Global Healthcare Y-Acc-EUR,LU0346388969,EAA Fund Sector Equity Healthcare,Renta Variable Sectorial,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,3/25/2008,4,4,," 1,083,114,950.44 € ",-7.46,-7.63,0.60,16.47,-7.63,n.d.,-10.59,13.47,-1.31,12.49,1.35,13.27,6.08,12.84,28.51,9.44,38.88,8.38,19.29,20.12,-9.57,14.37,5.24,9.68,10.39,13.82,27.84,9.40,2.54,16.33,32.78,10.73,-8.29,17.14,3.01,7.64,6.34,11.49,-6.46,15.45
Fidelity Global Technology Y-Acc-EUR,LU0346389348,EAA Fund Sector Equity Technology,Renta Variable Sectorial,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,3/17/2008,4,4,," 28,303,647,966.00 € ",-4.80,-4.76,-1.71,14.09,-4.76,n.d.,14.99,15.61,16.72,14.99,11.98,16.12,19.90,16.42,23.66,11.72,34.88,8.55,22.37,21.27,20.70,18.09,20.44,9.92,1.32,15.35,47.82,19.13,33.36,23.15,32.66,9.10,-18.02,19.48,40.43,18.62,25.79,9.41,10.94,18.18
Fidelity Pacific A-Acc-EUR,LU0368678339,EAA Fund Asia-Pacific Equity,Renta Variable Pacífico,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,6/2/2008,4,5,," 839,103,402.91 € ",-11.45,2.66,5.14,25.22,2.66,n.d.,27.59,19.72,10.94,15.10,1.24,15.79,6.47,15.74,25.73,12.21,15.97,8.03,11.39,21.55,6.97,11.32,17.59,7.31,-15.41,14.79,22.12,12.15,16.17,27.17,11.57,12.65,-22.78,17.43,3.20,15.69,8.04,11.79,21.12,13.10
Fidelity Pacific Y-Acc-EUR,LU0951203180,EAA Fund Asia-Pacific Equity,Renta Variable Pacífico,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,9/12/2013,4,5,," 839,103,402.91 € ",-11.42,2.86,5.57,25.27,2.86,n.d.,28.64,19.77,11.88,15.12,2.10,15.80,7.36,15.74,26.14,12.21,16.87,8.06,12.18,21.53,7.76,11.35,18.55,7.28,-14.69,14.80,23.22,12.19,17.13,27.12,12.52,12.65,-22.10,17.40,4.01,15.71,8.97,11.77,22.13,13.12
Fidelity Strategic Bond A-Acc-EUR H,LU0594300682,EAA Fund Global Flexible Bond - EUR Hedged,Renta Fija Flexible,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,3/8/2011,3,,8," 274,208,458.15 € ",-0.62,1.34,0.09,3.08,1.34,n.d.,2.82,3.13,2.64,4.03,-1.23,5.47,0.21,4.61,-1.00,3.21,2.39,1.82,-2.51,3.18,2.49,4.53,2.16,1.12,-4.66,1.55,6.83,2.06,5.35,6.44,-1.80,1.77,-13.94,8.56,5.43,6.15,0.83,3.68,1.82,3.09
Fidelity Strategic Bond Y-Acc-EUR H,LU0594301144,EAA Fund Global Flexible Bond - EUR Hedged,Renta Fija Flexible,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,NO,Sí,Sí,3/8/2011,3,,8," 274,208,458.15 € ",-0.65,1.48,0.41,3.14,1.48,n.d.,3.44,3.07,3.32,3.98,-0.57,5.45,0.76,4.59,-0.72,3.09,2.89,1.83,-1.76,3.34,2.95,4.56,2.43,1.00,-4.24,1.59,7.35,2.09,5.94,6.49,-1.17,1.81,-13.32,8.52,6.00,6.12,1.63,3.66,2.45,2.96
Fidelity World Y-Acc-EUR,LU0318941662,EAA Fund Global Large-Cap Blend Equity,Renta Variable Internacional,Fidelity (FIL Inv Mgmt (Lux) S.A.),Terceros ,Artículo 8,n.a.,NO,Sí,Sí,Sí,10/22/2007,4,4,," 5,119,499,625.71 € ",-4.28,-3.92,0.05,9.65,-3.92,n.d.,13.00,12.69,13.00,12.33,7.53,13.24,10.84,13.84,24.83,7.64,23.15,6.32,15.55,19.78,8.82,12.61,10.41,8.04,-6.72,13.17,30.88,12.81,11.09,23.53,24.08,8.86,-15.54,17.73,17.99,10.83,21.30,10.22,10.24,15.85
First Eagle Amundi International AE-C,LU0565135745,EAA Fund USD Aggressive Allocation,Renta Variable Internacional,"First Eagle Investment Management, LLC",Terceros ,n.a.,n.a.,NO,Sí,Sí,Sí,12/3/2010,3,1,1," 7,772,857,244.09 € ",-7.00,0.51,5.30,14.24,0.51,n.d.,10.41,12.08,10.61,8.65,8.40,9.46,7.05,10.25,7.19,6.60,15.38,3.56,8.33,15.55,12.05,6.37,-2.66,6.09,-5.19,8.55,20.80,9.21,-3.62,18.84,17.95,7.31,-2.88,13.61,8.35,7.14,16.96,5.89,10.57,9.21
First Eagle Amundi International RE-C,LU0878867430,EAA Fund USD Aggressive Allocation,Renta Variable Internacional,"First Eagle Investment Management, LLC",Terceros ,n.a.,n.a.,NO,Sí,Sí,Sí,8/9/2013,3,1,1," 7,772,857,244.09 € ",-6.95,0.66,5.60,14.23,0.66,n.d.,10.36,12.06,11.10,8.63,8.98,9.45,7.63,10.25,8.50,6.70,16.11,3.56,9.09,15.57,12.90,6.39,-2.10,6.10,-5.13,8.66,21.30,9.23,-2.72,18.81,18.69,7.31,-2.21,13.62,9.09,7.14,17.79,5.84,10.55,9.20
